src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.106.246,35.174.127.31,45194,443,6,2023-05-07 05:49:25,29187134.02748108,34.70707329627541,0.2398317009614293,0.1370466862636739,0.10278501469775542,4,3,510,503,312.0,66.0,127.5,106.52112466548596,333.0,66.0,167.66666666666666,117.93312605973871,333,66,144.71428571428572,113.31210285340761,12839.632653061226,80,60,20,1,4864522.283717855,28229291.908843994,111.965576171875,10450161.60051929,29187134.02748108,28229403.972625732,414648.05603027344,9729044.675827026,13081834.591075778,28962896.3470459,28229403.972625732,733492.374420166,14481448.17352295,13747955.799102783,0,0,0,0,1,0,0,0,0,0,0,0.75,144.71428571428572,501,418,0.0,0.0,0.0,0.0,28229179.859161377,94830.75141906738,7160928.964614868,12163874.19376547,0.0,0.0,0.0,0.0,0.0,0.0,127.5,167.66666666666666,0,4,3,510,503
192.168.106.246,18.161.216.123,55736,443,6,2023-05-07 05:49:51,13612.031936645508,9697.30313698702,146.92883540889426,73.46441770444713,73.46441770444713,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
192.168.106.246,239.255.255.250,41582,1900,17,2023-05-07 05:49:57,3021145.1053619385,283.33627487165984,1.3240012844470088,1.3240012844470088,0.0,4,0,856,0,214.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,214,214,214.0,0.0,0.0,32,0,8,4,1007048.3764597574,1008246.6442932129,1004973.884060669,1472.7676897584156,3021145.1053619385,1008246.660232544,1004973.8883972168,1007048.3684539795,1472.761192605386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,214.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0,4,0,856,0
192.168.106.246,224.0.0.251,5353,5353,17,2023-05-07 05:50:06,0.0,0,0,0,0,1,0,87,0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,87,87,87.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0,1,0,87,0
192.168.106.246,18.161.216.123,55736,443,6,2023-05-07 05:50:37,48277.61650085449,2734.1863490229193,41.42706589428666,20.71353294714333,20.71353294714333,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66
192.168.106.246,35.174.127.31,45194,443,6,2023-05-07 05:50:39,350972.89085388184,2222.3938666668478,11.396891623932554,5.698445811966277,5.698445811966277,2,2,379,401,313.0,66.0,189.5,123.5,335.0,66.0,200.5,134.5,335,66,195.0,129.2342833771287,16701.5,40,40,20,1,116990.92706807454,334573.94187927246,105.84858703613281,153996.2816509989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,195.0,501,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.5,200.5,0,2,2,379,401
140.82.113.26,192.168.106.246,443,54356,6,2023-05-07 05:50:00,74766464.94865417,10.32548483508175,0.13374980356323513,0.08024988213794107,0.05349992142529405,6,4,448,324,92.0,66.0,74.66666666666667,12.256517540566824,96.0,66.0,81.0,15.0,96,66,77.2,13.775340286178052,189.76,120,80,20,2,8307384.997507392,45138890.01453247,361.17369079589844,14242528.167798806,74502203.70292664,45424456.35795593,238708.49609375,14900440.740585327,16506698.291370424,74527536.39221191,45377196.073532104,14527034.759521484,24842512.130737305,14520267.455975037,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,77.2,70,501,44853323.69804382,14261968.612670898,24484103.043874104,14403246.638682557,44900583.98246765,237903.59497070312,12281872.948010763,15835507.886738155,0.0,0.0,0.0,0.0,0.0,0.0,74.66666666666667,81.0,0,6,4,448,324
192.168.106.246,13.67.9.5,49058,443,6,2023-05-07 05:50:04,45175828.93371582,5.843833001655679,0.08854292426751029,0.04427146213375514,0.04427146213375514,2,2,132,132,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,40,40,20,0,15058609.623833211,45000631.35714416,79865.88960876464,21172207.55150157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,1021,0.0,0.0,0.0,0.0,44905299.6635437,95331.66885375977,22500315.66619873,22404983.99734497,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,2,2,132,132
192.168.106.246,8.8.8.8,33408,53,17,2023-05-07 05:50:52,5083561.182022095,132.58422115260194,1.3769874600418601,0.7868499771667772,0.5901374828750828,4,3,280,394,70.0,70.0,70.0,0.0,154.0,86.0,131.33333333333334,32.05550741379015,154,70,96.28571428571429,36.90030695077244,1361.6326530612246,32,24,8,4,847260.1999384562,4981344.892098999,84.14506225585937,1848917.7358394286,5062323.331832886,5004648.447036743,84.16175842285156,1687441.110610962,2345737.287901228,5060173.511505127,5038692.474365234,21481.037139892578,2530086.7557525635,2508605.718612671,0,0,0,0,1,0,0,0,0,0,0,0.75,96.28571428571429,0,0,4981101.751327515,84.16175842285156,2490592.9565429688,2490508.794784546,4958041.429519653,20994.66323852539,1667418.4799194336,2326821.979242818,0.0,0.0,0.0,0.0,0.0,0.0,70.0,131.33333333333334,0,4,3,280,394
192.168.106.246,20.207.73.82,45756,443,6,2023-05-07 05:50:57,1085031.270980835,8471.645238105179,44.23835633475289,24.8840754382985,19.35428089645439,27,21,3220,5972,465.0,54.0,119.25925925925925,103.05790985963421,2924.0,66.0,284.3809523809524,601.5038673976512,2924,54,191.5,413.49072944061675,170974.58333333334,540,420,20,11,23085.775461659534,214554.39764404297,0.913177490234375,51475.191343150815,1085031.270980835,298000.8125305176,12.636184692382812,41731.97196080135,79326.16737617343,1047904.2530059814,256062.98446655273,0.95367431640625,52395.21265029907,77078.36733601287,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,191.5,64240,70,214448.2135772705,3152.132034301758,80130.60092926025,83871.58816031808,173045.63522338867,5715.131759643555,55748.62162272135,52101.23787526398,464.0,5.0,587.5,4.0,77366.60926257205,4407.728068716204,119.25925925925925,284.3809523809524,0,27,21,3220,5972
